代码,名称,实际控制人,控制人类型,控制人简介,证监会行业,Wind行业
002127.SZ,南极电商,张玉祥,个人,"张玉祥,男,中国国籍，身份证号码：31010819****132811，住所：上海市徐汇区****，通讯地址：上海市黄埔区****。",CSRC商务服务业,Wind零售业
002128.SZ,露天煤业,国务院国有资产监督管理委员会,国资委,,CSRC煤炭开采和洗选业,Wind能源Ⅱ
002129.SZ,中环股份,天津市人民政府国有资产监督管理委员会,地方国资委,,CSRC电气机械及器材制造业,Wind半导体与半导体生产设备
002130.SZ,沃尔核材,周和平,个人,"周和平先生,中国国籍,1964年生,高级工程师,深圳市龙岗区政协委员.1998年6月至今任本公司董事长.",CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002131.SZ,利欧股份,王相荣,个人,王相荣：中国国籍，2005年2月至今任公司董事长，2009年8月8日至今兼任公司总经理，现同时担任浙江利欧控股集团有限公司董事长，浙江大农实业股份有限公司董事，温岭市利欧小额贷款有限公司董事长，台州新科环保研究所有限公司执行董事，温岭市利恒机械有限公司执行董事，温岭利欧贸易有限公司执行董事，台州利欧矿业投资有限公司执行董事，温岭市广源房地产开发有限公司董事，上海磊利汽车贸易有限公司监、上海漫酷广告有限公司董事长、上海氩氪广告有限公司董事长、银色琥珀文化传播（北京）有限公司董事长、江苏万圣伟业网络科技公司董事长、北京微创时代广告有限公司董事长。,CSRC互联网和相关服务,Wind媒体Ⅱ
002132.SZ,恒星科技,谢保军,个人,谢保军:1962年生，中国国籍，未取得其他国家或地区居留权，研究生学历。1995年与其他五位自然人股东共同创立本公司前身，2004至今任本公司董事长。,CSRC金属制品业,Wind材料Ⅱ
002133.SZ,广宇集团,王轶磊,个人,"王轶磊,男,1982年6月生,学士,EMBA,中国公民,无境外居留权.2004年进入公司工作,历任总裁秘书,证券部经理,董事会秘书,副总裁.现任公司副董事长,总裁,杭州市第十届政协委员,中国民主促进会杭州市委员会第十二届常委,浙江省青联委员,杭州民进企业家联谊会会长.王轶磊先生在公司子公司的任职情况如下:肇庆星湖名郡房地产发展有限公司董事;杭州天城房地产开发有限公司董事长;浙江广宇丁桥房地产开发有限公司总经理;杭州南泉房地产开发有限公司董事,总经理;浙江合创贸易有限公司执行董事,总经理;浙江广宇新城房地产开发有限公司执行董事;浙江信宇房地产开发有限公司董事;浙江广宇创业投资管理有限公司执行董事.",CSRC房地产业,Wind房地产Ⅱ
002134.SZ,*ST普林,天津市国有资产监督管理委员会,地方国资委,,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002135.SZ,东南网架,郭明明,个人,"郭明明先生:中国国籍,无境外居留权,男,大专,高级工程师,高级经济师,中国钢结构协会第四届理事会副会长,浙江省第九,十届人大代表.郭明明先生具有二十多年丰富的钢结构行业企业生产经营管理经验,1993年荣获浙江省科技进步三等奖,1997年荣获浙江省第三届经营管理大师,浙江省优秀乡镇企业家,浙江省星火明星企业家称号,上海市科技进步三等奖,1998年被农业部授予全国优秀乡镇企业厂长(经理,董事长)称号,1999年荣获浙江省科学技术进步奖优秀奖,浙江省建材科技进步一等奖,2002年被评为浙江省建材行业优秀企业家,2004年被评为浙江省优秀建筑业企业经理,浙江省建材行业优秀企业家称号.曾任萧山市第二建筑工程公司预算管理员,技术经理,东南集团董事长兼总经理,现任本公司董事长,党委书记,集团公司董事.",CSRC土木工程建筑业,Wind资本货物
002136.SZ,安纳达,铜陵市国有资产监督管理委员会,地方国资委,,CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002137.SZ,麦达数字,陈亚妹,个人,陈亚妹女士：现任本公司董事长、无锡实益达电子有限公司董事，实益达科技（香港）有限公司执行董事，拉萨市冠德成科技发展有限公司监事，凯扬商贸（香港）有限公司执行董事，深圳市前海实益达投资发展有限公司董事，新余九派凯阳投资合伙企业（有限合伙）有限合伙人，新余元通投资管理有限公司执行董事、总经理，深圳市日升投资有限公司总经理。,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002137.SZ,麦达数字,乔昕,个人,乔昕先生：现任本公司董事兼总裁、百华科技发展有限公司执行董事，广州讯友数码科技有限公司董事，拉萨市冠德成科技发展有限公司执行董事，深圳前海实益达投资发展有限公司董事长、总经理，深圳市电明科技股份有限公司董事，深圳市汇大光电科技股份有限公司董事长，无锡实益达电子有限公司董事长、总经理，无锡实益达照明科技有限公司总经理，新余九派凯阳投资合伙企业（有限合伙）有限合伙人，新余益瑞投资合伙企业（有限合伙）普通合伙人，新余元通投资管理有限公司监事，深圳市日升投资有限公司执行董事，上海顺为广告传播有限公司董事，深圳市实益达照明有限公司董事长。,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
002139.SZ,拓邦股份,武永强,个人,武永强，男，硕士学位。曾任哈尔滨工业大学讲师。1996年2月－2000年7月担任拓邦电子有限公司副董事长，2000年7月－2002年7月担任拓邦电子有限公司董事长，2002年8月至今担任公司董事长。曾获深圳市政府授予的“深圳市青年科技带头人”、深圳市南山区“十大杰出青年”等称号，是公司实用新型专利“互动式乒乓球运动游戏机”、“一种双控电磁加热控制装置”以及已受理的发明专利“一种双控电磁加热控制系统”的共同设计人和发明人。现任本公司董事长，任期2005年8月－2008年8月。,CSRC电气机械及器材制造业,Wind技术硬件与设备
002140.SZ,东华科技,中国化学工程集团公司,中央国有企业,"中国化学工程集团公司,法定代表人/单位负责人:陆红星,成立日期1984年01月01日,组织机构代码10000185-2,主要经营业务:依照职权主要对所属企业国有股权进行管理、行使出资人的权利和义务、进行行业标准的研究、指导等工作",CSRC土木工程建筑业,Wind资本货物
002141.SZ,贤丰控股,谢松锋,个人,谢松锋：任广东贤丰矿业集团有限公司董事职务,CSRC电气机械及器材制造业,Wind资本货物
002141.SZ,贤丰控股,谢海滔,个人,谢海滔：任广东贤丰矿业集团有限公司董事、总经理职务。,CSRC电气机械及器材制造业,Wind资本货物
002142.SZ,宁波银行,宁波市国有资产监督管理委员会,地方国资委,,CSRC货币金融服务,Wind银行
002143.SZ,印纪传媒,肖文革,个人,肖文革，历任北京龙天广告有限公司执行董事、北京通运房地产开发有限公司执行董事兼经理、印纪影视娱乐传媒有限公司执行董事兼经理。现任本公司董事；印纪影视娱乐传媒有限公司董事长；北京通运房地产开发有限公司执行董事；四川印纪影视传媒有限公司执行董事、经理；印纪之声文化传播（北京）有限公司董事长；星光布拉格（北京）影院投资管理有限公司执行董事、经理；凯瑞富海实业投资有限公司执行董事；上海睿迹投资有限公司执行董事；Chorokbaem Media股份有限公司董事。,CSRC商务服务业,Wind媒体Ⅱ
002144.SZ,宏达高科,沈国甫,个人,"沈国甫,无境外永久居留权,男,出生于1956 年9 月,大专学历,高级经济师,高级政工师.1975 年参加工作,曾在海宁市许村中学任教,1985 年起任海宁许村经编厂厂长,1997 年改制设立浙江宏达经编有限公司后担任董事长兼总经理,2001 年变更设立股份公司后一直担任公司董事长.先后当选为浙江省经编行业协会会长,中国家用纺织品行业协会副会长,嘉兴市总商会副会长,海宁市慈善总会副会长.嘉兴市第四次,第五次党代会代表,嘉兴市六届人大代表,海宁市十三届人大常委会委员.曾被评为全国优秀乡镇企业家,全国纺织工业劳动模范,全国纺织工业优秀思想政治工作者,浙江省优秀共产党员,浙江省企业思想政治先进工作者等.任期2004 年8 月-2007 年8 月.",CSRC纺织业,Wind耐用消费品与服装
002145.SZ,中核钛白,李建锋,个人,"李建锋,中国国籍,2009年5月份至2011年7月份,担任山东道恩钛业有限公司总经理,2011年3月至2013年2月,担任安徽金星钛白(集团)有限公司董事长,总经理.2011年9月至今,担任中核钛白总经理,2012年8月31日至今,担任中核钛白董事长.",CSRC化学原料及化学制品制造业,Wind材料Ⅱ
002146.SZ,荣盛发展,耿建明,个人,耿建明:研究生学历。高级工程师。先后毕业于华北航天工业学院、天津大学、新加坡南洋理工大学商学院。第十届全国人民代表大会代表，河北省政协委员，廊坊市政协常委，廊坊市工商联副会长，河北省工商联常委，河北省住宅与房地产协会常务理事，河北省人大立法研究会理事，中国企业家协会理事。基建工程兵转业后曾任廊坊市建设集团总经理、荣盛控股董事长兼总经理、荣盛建设董事长兼总经理等职务。现任公司董事长、荣盛控股董事、荣盛建设董事。,CSRC房地产业,Wind房地产Ⅱ
002147.SZ,新光圆成,虞云新,个人,"性别:男,国籍:中国,身份证号码:3307241962****0535,通讯地址,浙江省义乌市江东街道***号.2004.03-至今任职新光控股集团有限公司董事,2008.06-至今任职浙江万厦房地产开发有限公司董事、总经理,2003.06-至今任职浙江新光建材装饰城开发有限公司董事、总经理等。",CSRC房地产业,Wind房地产Ⅱ
002147.SZ,新光圆成,周晓光,个人,女，万厦房产董事长，1962年11月出生，中国国籍，无境外居留权。最近三年主要担任新光集团董事长、浙江新光饰品股份有限公司董事长、上海富越铭城控股集团有限公司董事长、义乌市新光小额贷款股份有限公司董事长、新天国际经济技术合作（集团）有限公司董事、东阳市晓云实业投资有限公司董事、新光金控投资有限公司董事长、江苏新玖实业投资有限公司董事等。,CSRC房地产业,Wind房地产Ⅱ
002148.SZ,北纬通信,傅乐民,个人,"傅乐民先生1985年毕业于中国科技大学计算机系,1988年毕业于中国科学院计算与技术研究所,工学硕士学位.1988年进入中国科学院希望电脑公司任工程师,无线通信部经理,1997年至今任本公司董事长兼总经理,为本公司主要创始人.1986-1988年参与国家自然科学基金项目及“七五”攻关项目所支持的“大型集成电路的容错与测试”课题的研究工作.在希望电脑公司任开发工程师期间,傅乐民先生是中文汉字系统《UCDOS中文系统》的主要开发人之一.1991年,由傅乐民先生担任开发和推广主要负责人的“HOPE—126大型寻呼网络系统”,凭借国际领先的技术水平和实际的推广使用效果,荣获第一届中国国际通信设备技术展览会产品金奖.",CSRC软件和信息技术服务业,Wind电信服务Ⅱ
